id;rules;difficulty;type;question;imgUrl;answer1;answer2;answer3;answer4;answer5;correctIndex;explanation
q-11v11-001;11v11;easy;text;Vilket bestraffning gäller normalt vid osportsligt uppträdande?;;Ingen bestraffning;Varning;Utvisning;Grönt kort;Frispark;1;Osportsligt uppträdande ger varning.
q-11v11-002;11v11;medium;text;Hur återupptas spelet om domaren avbryter matchen för skada utan regelbrott?;;Inkast;Frispark;Nedsläpp;Hörna;Inspark;2;Nedsläpp används vid avbrott utan regelbrott.
q-11v11-003;11v11;medium;text;Vilket alternativ beskriver korrekt hur offside bedöms?;;Spelare döms alltid offside om denne är närmast mål;Spelare döms offside om denne deltar aktiv i spelet;Offside gäller endast i straffområdet;Offside gäller inte vid frispark;En målvakt kan aldrig vara offside;1;Offside kräver aktiv inverkan.
q-11v11-004;11v11;easy;text;Hur många spelare per lag är på planen i 11 mot 11?;;11 utespelare och målvakt;10 utespelare och målvakt;9 utespelare och målvakt;11 utespelare och 2 målvakter;20 utespelare och 2 målvakter;1;11 spelare per lag deltar i spelformen, därav namnet.
q-11v11-005;11v11;easy;text;Vad händer om en spelare får två gula kort i samma match?;;Inget händer;Spelaren varnas igen;Spelaren utvisas;Matchen avbryts;Frispark;2;2 gula kort leder till rött kort, d.v.s utvisning.
q-11v11-006;11v11;hard;text;När är en spelare inte offside trots position?;;När spelaren står still;När spelaren är på egen planhalva;När spelaren får bollen via nick;När spelaren inte rör bollen;När spelaren är ensam med målvakten;1;Offside gäller inte på egen planhalva.
q-11v11-007;11v11;medium;text;Vad döms om bollen passerar kortlinjen via försvarande lag?;;Inspark;Inkast;Hörna;Nedsläpp;Frispark;2;Hörna döms när försvarare rör bollen sist.
q-11v11-008;11v11;hard;text;Hur stort ska målet vara i 11 mot 11?;;3 x 1,5 meter;5 x 2 meter;6 x 2,20 meter;7,32 x 2,44 meter;5,5 x 2 meter;3;Målet ska vara 7,32 x 2,44 meter.
q-11v11-009;11v11;medium;text;Får spelaren flytta hörnmarkeringen vid hörna?;;Ja;Nej;Bara om den är i vägen;Bara om domaren tillåter;;1;Det är inte tillåtet att flytta hörnmarkeringen (flagga, kon eller motsvarande).
q-11v11-010;11v11;hard;text;Hur lång är speltiden vid enskild match för 15-åringar?;;2 x 45 minuter;3 x 20 minuter;2 x 40 minuter;3 x 25 minuter;2 x 35 minuter;2;För 15-åringar är speltiden 2 x 40 minuter.
